Biblical Citation,Variants,Ar. 112,Ar. 147,Ar. 68,Ar. 628,Vat. Copt. 9
3.2,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ, 4. mamlakat al-samawāt, 5. malkūt al-samawāt",1. mulk al-samāʾ,4. malkūt al-samawāt,4. malkūt al-samawāt,4. malkūt al-samawāt,4. malkūt al-samawāt
4.17,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ, 4. malkūt al-samawāt",3. malkūt al-samāʾ,3. malkūt al-samāʾ,4. malkūt al-samawāt,4. malkūt al-samawāt,4. malkūt al-samawāt
5.3,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ",3. malkūt al-samāʾ,4. malkūt al-samawāt,4. malkūt al-samawāt,4. malkūt al-samawāt,4. malkūt al-samawāt
5:10,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ",4. malkūt al-samawāt,4. malkūt al-samawāt,4. malkūt al-samawāt,4. malkūt al-samawāt,4. malkūt al-samawāt
5.12,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ",,,,,
5:19a,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ, 4. malkūt al-samawāt",4. malkūt al-samawāt,4. malkūt al-samawāt,4. malkūt al-samawāt,4. malkūt al-samawāt,4. malkūt al-samawāt
5:19b,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ",4. malkūt al-samawāt,4. malkūt al-samawāt,4. malkūt al-samawāt,,4. malkūt al-samawāt
5:20,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ",3. malkūt al-samāʾ,4. malkūt al-samawāt,4. malkūt al-samawāt,4. malkūt al-samawāt,4. malkūt al-samawāt
6:33,"1. mulk ʾallāh, 2. malkūt ʾallāh",2. malkūt ʾallāh,,2. malkūt ʾallāh,2. malkūt ʾallāh,2. malkūt ʾallāh
7:21,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ, 4. malkūt al-samawāt",4. malkūt al-samawāt,3. malkūt al-samāʾ,4. malkūt al-samawāt,4. malkūt al-samawāt,4. malkūt al-samawāt
8:11,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ",3. malkūt al-samāʾ,4. malkūt al-samawāt,4. malkūt al-samawāt,4. malkūt al-samawāt,4. malkūt al-samawāt
10:7,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ, 4. malkūt al-samawāt",4. malkūt al-samawāt,3. malkūt al-samāʾ,4. malkūt al-samawāt,4. malkūt al-samawāt,4. malkūt al-samawāt
11:11,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ, 4. malkūt al-samawāt",3. malkūt al-samāʾ,4. malkūt al-samawāt,3. malkūt al-samāʾ,3. malkūt al-samāʾ,4. malkūt al-samawāt
11:12,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ, 4. malkūt al-samawāt",,3. malkūt al-samāʾ,3. malkūt al-samāʾ,4. malkūt al-samawāt,4. malkūt al-samawāt
12:28,"1. mulk ʾallāh, 2. malkūt ʾallāh, 3. malkūt al-samāʾ",2. malkūt ʾallāh,,2. malkūt ʾallāh,2. malkūt ʾallāh,2. malkūt ʾallāh
13:11,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ, 4. malkūt ʾallāh",4. malkūt al-samawāt,4. malkūt al-samawāt,4. malkūt al-samawāt,2. malkūt ʾallāh,4. malkūt al-samawāt
13:24,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ, 4. malkūt al-samawāt",4. malkūt al-samawāt,4. malkūt al-samawāt,4. malkūt al-samawāt,4. malkūt al-samawāt,4. malkūt al-samawāt
13:31,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ",4. malkūt al-samawāt,4. malkūt al-samawāt,4. malkūt al-samawāt,4. malkūt al-samawāt,4. malkūt al-samawāt
13:33,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ",4. malkūt al-samawāt,4. malkūt al-samawāt,4. malkūt al-samawāt,4. malkūt al-samawāt,4. malkūt al-samawāt
13:44,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ, 4. malkūt al-samawāt",3. malkūt al-samāʾ,4. malkūt al-samawāt,4. malkūt al-samawāt,4. malkūt al-samawāt,4. malkūt al-samawāt
13:45,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ, 4. malkūt al-samawāt",3. malkūt al-samāʾ,4. malkūt al-samawāt,4. malkūt al-samawāt,4. malkūt al-samawāt,4. malkūt al-samawāt
13:47,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ, 4. malkūt al-samawāt",3. malkūt al-samāʾ,4. malkūt al-samawāt,4. malkūt al-samawāt,4. malkūt al-samawāt,4. malkūt al-samawāt
